
2024/12/23 (12:44:00) | ===> btop++ v.1.4.0
2024/12/23 (12:44:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:02:07) | ===> btop++ v.1.4.0
2024/12/23 (14:02:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (18:58:37) | ===> btop++ v.1.4.0
2024/12/23 (18:58:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (20:01:21) | ===> btop++ v.1.4.0
2024/12/23 (20:01:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (08:12:28) | ===> btop++ v.1.4.0
2024/12/24 (08:12:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (21:35:06) | ===> btop++ v.1.4.0
2024/12/24 (21:35:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (12:18:15) | ===> btop++ v.1.4.0
2024/12/25 (12:18:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (12:18:24) | ===> btop++ v.1.4.0
2024/12/25 (12:18:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (15:34:24) | ===> btop++ v.1.4.0
2024/12/25 (15:34:24) | WARNING: Intel GPU: Failed to initialize PMU
